CompanyCode,CompanyName,IndustryCode,Province
000001,平安银行,广东省,J66
000002,万科A,广东省,K70
000006,深振业A,广东省,K70
000007,*ST 全新,广东省,K70
000008,神州高铁,北京市,C37
000009,中国宝安,广东省,S90
000010,美丽生态,广东省,E48
000011,深物业A,广东省,K70
000012,南玻A,广东省,C30
000014,沙河股份,广东省,K70
000016,深康佳A,广东省,C39
000017,深中华A,广东省,C37
000019,深粮控股,广东省,F51
000020,深华发A,广东省,C39
000021,深科技,广东省,C39
000023,深天地A,广东省,C30
000025,特力A,广东省,F51
000026,飞亚达,广东省,F52
000027,深圳能源,广东省,D44
000028,国药一致,广东省,F51
000029,深深房A,广东省,K70
000030,富奥股份,吉林省,C36
000031,大悦城,广东省,K70
000032,深桑达A,广东省,E49
000034,神州数码,广东省,F51
000035,中国天楹,江苏省,N77
000036,华联控股,广东省,K70
000037,深南电A,广东省,D44
000038,深大通,广东省,L72
000039,中集集团,广东省,C33
000040,东旭蓝天,广东省,D44
000042,中洲控股,广东省,K70
000045,深纺织A,广东省,C39
000046,泛海控股,北京市,J69
000048,京基智农,广东省,C13
000049,德赛电池,广东省,C38
000050,深天马A,广东省,C39
000055,方大集团,广东省,C33
000056,皇庭国际,广东省,L72
000058,深赛格,广东省,L72
000059,华锦股份,辽宁省,C25
000060,中金岭南,广东省,C32
000061,农产品,广东省,L72
000062,深圳华强,广东省,F51
000063,中兴通讯,广东省,C39
000065,北方国际,北京市,E48
000066,中国长城,广东省,C39
000068,华控赛格,广东省,M74
000069,华侨城A,广东省,K70
000070,特发信息,广东省,C38
000078,海王生物,广东省,F52
000088,盐田港,广东省,G54
000089,深圳机场,广东省,G56
000090,天健集团,广东省,E48
000096,广聚能源,广东省,F51
000099,中信海直,广东省,G56
000100,TCL科技,广东省,C39
000151,中成股份,北京市,F51
000153,丰原药业,安徽省,C27
000155,川能动力,四川省,D44
000156,华数传媒,浙江省,R86
000157,中联重科,湖南省,C35
000158,常山北明,河北省,I65
000159,国际实业,新疆维吾尔自治区,F51
000166,申万宏源,新疆维吾尔自治区,J67
000301,东方盛虹,江苏省,C28
000333,美的集团,广东省,C38
000338,潍柴动力,山东省,C36
000400,许继电气,河南省,C38
000401,冀东水泥,河北省,C30
000402,金融街,北京市,K70
000403,派林生物,山西省,C27
000404,长虹华意,江西省,C34
000407,胜利股份,山东省,D45
000408,藏格矿业,青海省,C26
000409,云鼎科技,山东省,I65
000411,英特集团,浙江省,F51
000413,东旭光电,河北省,C39
000415,渤海租赁,新疆维吾尔自治区,L71
